1934356557;SQL Antipatterns - Avoiding the Pitfalls of Database Programming;Bill Karwin;;http://books.google.com/books/content?id=Ghr4RAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api;Computers;2010;en
162114030X;Data Access for Highly-Scalable Solutions - Using SQL, NoSQL, and Polyglot Persistence;Douglas McMurtry, Andrew Oakley, John Sharp, Mani Subramanian, Hanzhong Zhang;Microsoft patterns & practices;;;2013-09-30;en
1617290858;Redis in Action;Josiah L. Carlson;Manning Publications;http://books.google.com/books/content?id=qo2aMQEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api;Computers;2013;en
1617290343;Big Data - Principles and Best Practices of Scalable Realtime Data Systems;Nathan Marz, James Warren;Manning Publications Company;http://books.google.com/books/content?id=HW-kMQEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api;Computers;2015;en
9781449311520;Hadoop: The Definitive Guide;Tom White;"O'Reilly Media, Inc.";http://books.google.com/books/content?id=drbI_aro20oC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api;Computers;2012-05-19;en
9781449359058;Learning Spark - Lightning-Fast Big Data Analysis;Holden Karau, Andy Konwinski, Patrick Wendell, Matei Zaharia;"O'Reilly Media, Inc.";http://books.google.com/books/content?id=tOptBgAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api;Computers;2015-01-28;en
9781491972908;Advanced Analytics with Spark - Patterns for Learning from Data at Scale;Sandy Ryza, Uri Laserson, Sean Owen, Josh Wills;"O'Reilly Media, Inc.";http://books.google.com/books/content?id=uJonDwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api;Computers;2017-06-12;en
9781292037301;Database Systems: Pearson New International Edition - The Complete Book;Hector Garcia-Molina, Jeffrey D Ullman, Jennifer Widom;Pearson Higher Ed;http://books.google.com/books/content?id=3LipBwAAQBAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api;Computers;2013-08-29;en
UOM:39015029272161;Database Tuning - A Principled Approach;Dennis Elliott Shasha;;http://books.google.com/books/content?id=cdZQAAAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api;Computers;1992-01-01;en
9781630814663;The Technical Foundations of IoT - ;Boris Adryan, Dominik Obermaier, Paul Fremantle;Artech House;http://books.google.com/books/content?id=6YQ0DwAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api;Computers;2017-06-30;en
9780692739006;The Amazon Way on IoT - 10 Principles for Every Leader from the World's Leading Internet of Things Strategies;John Rossman;Clyde Hill Publishing;http://books.google.com/books/content?id=SUJ_DQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api;Business & Economics;2016-11-15;en
9781491925324;Enterprise IoT - Strategies and Best Practices for Connected Products and Services;Dirk Slama, Frank Puhlmann, Jim Morrish, Rishi M Bhatnagar;"O'Reilly Media, Inc.";http://books.google.com/books/content?id=iqDUCgAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api;Business & Economics;2015-10-29;en
9781484213773;Raspberry Pi IoT Projects - Prototyping Experiments for Makers;John C. Shovic;Apress;http://books.google.com/books/content?id=g5vVDAAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api;Computers;2016-08-12;en
1974590127;IoT Hackers Handbook - An Ultimate Guide to Hacking the Internet of Things and Learning IoT Security;ADITYA. GUPTA;;;;2017-08-15;en
9780262035613;Deep Learning;Ian Goodfellow, Yoshua Bengio, Aaron Courville;MIT Press;http://books.google.com/books/content?id=Np9SDQAAQBAJ&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api;Computers;2016-11-18;en
